PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
GA2610011,A B C MOBILE HOME PARK,Community water system,Ground water,Sumter,,75,6,115,5
GA1830006,AARON MOBILE HOME PARK,Community water system,Ground water,Long,,112,4,23,8
GA3150000,ABBEVILLE,Community water system,Ground water,Wilcox,,"2,960",10,15,4
GA2770004,ABRAHAM BALDWIN AGRI. COLLEGE,Community water system,Ground water,Tift,TIFTON,"4,086",5,26,5
GA1850009,ACADEMY ACRES SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,325,6,6,5
GA0150000,ADAIRSVILLE,Community water system,Groundwater under influence of surface water,Bartow,ADAIRSVILLE,"7,306",6,13,26
GA0750000,ADEL,Community water system,Ground water,Cook,ADEL,"6,560",12,3,5
GA1070000,ADRIAN,Community water system,Ground water,Emanuel,ADRIAN,664,6,14,6
GA2090000,AILEY,Community water system,Ground water,Montgomery,AILEY,537,6,24,6
GA3090000,ALAMO,Community water system,Ground water,Wheeler,ALAMO,"3,650",6,21,6
GA0190000,ALAPAHA,Community water system,Ground water,Berrien,ALAPAHA,743,6,23,5
GA0950000,ALBANY,Community water system,Ground water,Dougherty,ALBANY,"87,261",77,20,24
GA2170034,ALCOVY MOBILE HOME PARK,Community water system,Ground water,Newton,COVINGTON,130,4,38,4
GA1590004,ALCOVY SHORES WATER AUTHORITY,Community water system,Surface water purchased,Jasper,,715,7,12,9
GA0310270,ALEXANDER FARMS SUBDIVISION,Community water system,Ground water,Bulloch,,34,6,11,4
GA2370088,ALEXANDER LAKES SUBDIVISION,Community water system,Ground water,Putnam,,190,5,0,4
GA3190000,ALLENTOWN,Community water system,Ground water,Wilkinson,,163,5,3,5
GA0050000,ALMA,Community water system,Ground water,Bacon,ALMA,"4,700",10,10,4
GA3110075,ALPINE TERRACE/PRIMROSE SUBDIVISION,Community water system,Ground water,White,,88,7,9,4
GA2090001,ALSTON,Community water system,Ground water,Montgomery,ALSTON,159,6,9,4
GA3050086,ALTAMAHA ACRES,Community water system,Ground water,Wayne,,192,5,8,4
GA1270141,ALTAMAHA MOBILE HOME VILLAGE,Community water system,Ground water,Glynn,BRUNSWICK,125,4,8,6
GA1370000,ALTO,Community water system,Ground water,Habersham,ALTO,"2,545",38,20,5
GA0310208,AMBERWOOD SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,434,4,1,4
GA0690000,AMBROSE,Community water system,Ground water,Coffee,AMBROSE,380,6,52,7
GA2610000,AMERICUS,Community water system,Ground water,Sumter,,"14,524",16,7,3
GA0290072,ANDERSON S/D,Community water system,Ground water,Bryan,,26,5,5,4
GA2610001,ANDERSONVILLE,Community water system,Ground water,Sumter,ANDERSONVILLE,359,7,27,4
GA1790161,ANGLER`S EDGE SUBDIVISION,Community water system,Ground water,Liberty,,25,4,0,1
GA2110011,APPALACHEE WOODS SUBDIVISION,Community water system,Ground water,Morgan,,292,6,5,6
GA1950045,APPLE ACRES-KINGSTON-GATEWOOD,Community water system,Ground water,Madison,,296,5,32,5
GA0110031,APPLE PIE RIDGE SUBDIVISION,Community water system,Surface water purchased,Banks,BALDWIN,44,2,0,1
GA0810000,ARABI,Community water system,Ground water,Crisp,ARABI,424,8,5,5
GA1570014,ARCADE MOBILE HOME PARK,Community water system,Ground water,Jackson,,76,7,24,5
GA1790144,ARCADIA SUBDIVISION,Community water system,Ground water,Liberty,,81,4,3,3
GA0650013,ARGYLE,Community water system,Ground water,Clinch,ARGYLE,205,6,57,5
GA0510249,ARGYLE VILLAGE SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,57,4,19,6
GA0370000,ARLINGTON,Community water system,Ground water,Calhoun,ARLINGTON,"1,451",6,22,16
GA2610036,ARLINGTON TERRACE MHP,Community water system,Ground water,Sumter,AMERICUS,62,8,135,13
GA2210004,ARNOLDSVILLE,Community water system,Ground water,Oglethorpe,LEXINGTON,"1,391",18,11,5
GA2210057,ARROW WOOD SUBDIVISION,Community water system,Ground water,Oglethorpe,,65,6,3,6
GA2930009,ARROWHEAD LAKE WATER ASSOC.,Community water system,Ground water,Upson,THOMASTON,234,4,12,8
GA2370075,ARROWHEAD LANDING SUBDIVISION,Community water system,Ground water,Putnam,,192,12,24,6
GA3110108,ASH MOUNTAIN WATER SYSTEM,Community water system,Ground water,White,,42,3,0,4
